sample_name	guid	contig_file	contig_file_md5sum	fusidic_acid_phenotype
C00007096	4c851b71-811c-4b19-86a4-63ed1e94f0a3	4c851b71-811c-4b19-86a4-63ed1e94f0a3__v3.contigs.fa.gz	7227071d245fc7d553ff801b3fb3cd0e	1
C00001164	2ad4ee81-e1ee-4083-94f9-fb45d65eb3b2	2ad4ee81-e1ee-4083-94f9-fb45d65eb3b2__v3.contigs.fa.gz	5e15b53dca16a78bd782eb7ef74c3a01	1
C00012748	42d1c2c7-76af-405a-87a7-0df10be0f9c7	42d1c2c7-76af-405a-87a7-0df10be0f9c7__v3.contigs.fa.gz	13e6d1e9e3c543583f4c117078ecb179	1
C00000830	db7fe57b-83a9-43fd-a371-46f6035bc895	db7fe57b-83a9-43fd-a371-46f6035bc895__v3.contigs.fa.gz	b6b4fae51b62b71547e5675e217c7a19	0
C00003095	6de77a96-63c1-49c8-9c65-edd1066318f4	6de77a96-63c1-49c8-9c65-edd1066318f4__v3.contigs.fa.gz	6cf0a390fb349244e137a96ff43a378e	0
C00001250	f57aafd1-d401-4a4d-9e88-37741afbff61	f57aafd1-d401-4a4d-9e88-37741afbff61__v3.contigs.fa.gz	251ca9bd59f05dd655b8891cb4f6e0dc	0
C00000814	231596ab-6d22-4bea-a9f5-a4ea0d7be6a5	231596ab-6d22-4bea-a9f5-a4ea0d7be6a5__v3.contigs.fa.gz	1d3d538ff58270e0548e06086be9164c	1
C00012796	4e43b5e7-f2cd-4420-b705-1023fcfeb834	4e43b5e7-f2cd-4420-b705-1023fcfeb834__v3.contigs.fa.gz	f6113163aebf7ea6e63c5403d91e44a1	1
C00013400	5a962ff1-c4ee-48c7-850b-3a5c7aede72d	5a962ff1-c4ee-48c7-850b-3a5c7aede72d__v3.contigs.fa.gz	df44204d8c2cb1e183bebb6d2e2d7c9c	1
C00003164	8e80650d-5ce5-457a-971c-d18315d29d12	8e80650d-5ce5-457a-971c-d18315d29d12__v3.contigs.fa.gz	292aeadfc5eff7965410d927657d954d	0
C00003283	6cf65103-f0f7-46fc-b359-dcad00cbbbd0	6cf65103-f0f7-46fc-b359-dcad00cbbbd0__v3.contigs.fa.gz	c0d62b55d44a23ae6559620e6fd953ab	0
C00013192	647470af-3112-4fdb-bc29-77f93b4ff02b	647470af-3112-4fdb-bc29-77f93b4ff02b__v3.contigs.fa.gz	3a65dc7a37e1e683fc90369b58c41408	0
